Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies),Priority,Phase
"1213727762503027",2026-03-18,,2026-03-18,Schedule regular supervisor meetings,📋 Planning & Setup,,,,,,Set up recurring meetings with your thesis supervisor (recommended: bi-weekly). Add meeting notes and action items as subtasks.,Thesis Project Management,,,,High,Planning
"1213727762503026",2026-03-18,,2026-03-18,Create detailed thesis timeline,📋 Planning & Setup,,,,2026-03-28,,Break down the 4-6 month project into phases with specific milestones. Include buffer time for revisions and unexpected delays.,Thesis Project Management,,,,High,Planning
"1213727762503025",2026-03-18,,2026-03-18,Define thesis topic and research questions,📋 Planning & Setup,,,,2026-03-25,,"Finalize your thesis topic, research questions, and objectives with your supervisor. Document the scope and boundaries of your research.",Thesis Project Management,,,,Critical,Planning
"1213727762503029",2026-03-18,,2026-03-18,Finalize research methodology,🔬 Research & Data Collection,,,,2026-04-15,,"Define and document your research methods, data collection procedures, and analysis approach. Get supervisor approval.",Thesis Project Management,,,,Critical,Research
"1213727762503028",2026-03-18,,2026-03-18,Complete literature review,🔬 Research & Data Collection,,,,2026-04-30,,Conduct comprehensive literature review. Organize sources and identify gaps in existing research that your thesis will address.,Thesis Project Management,,,,Critical,Research
"1213727762503031",2026-03-18,,2026-03-18,Incorporate supervisor feedback,✍️ Writing & Drafting,,,,2026-07-01,,Review and implement feedback from supervisor on draft chapters. Track changes and maintain version control.,Thesis Project Management,,,,High,Review
"1213727762503030",2026-03-18,,2026-03-18,Complete first draft of all chapters,✍️ Writing & Drafting,,,,2026-06-15,,"Write first drafts of introduction, methodology, results, discussion, and conclusion. Focus on getting ideas down before perfecting.",Thesis Project Management,,,,Critical,Writing
"1213727762503034",2026-03-18,,2026-03-18,Final thesis submission,🎯 Key Milestones & Deadlines,,,,2026-07-31,,"Submit final formatted thesis according to institutional guidelines. Verify all requirements: formatting, binding, digital submission, etc.",Thesis Project Management,,,,Critical,Submission
"1213727762503033",2026-03-18,,2026-03-18,Ethics approval deadline (if applicable),🎯 Key Milestones & Deadlines,,,,,,Submit ethics application if your research involves human subjects or sensitive data. Allow 4-6 weeks for approval process.,Thesis Project Management,,,,Critical,Planning
"1213727762503032",2026-03-18,,2026-03-18,Submit thesis proposal (if required),🎯 Key Milestones & Deadlines,,,,,,"Prepare and submit formal thesis proposal including research questions, methodology, and timeline. Check institutional requirements.",Thesis Project Management,,,,Critical,Planning
"1213727762503036",2026-03-18,,2026-03-18,Prepare for thesis defense (if required),🔍 Review & Finalization,,,,,,"Create presentation, anticipate questions, and practice your defense. Schedule mock defense with peers or supervisor.",Thesis Project Management,,,,High,Submission
"1213727762503035",2026-03-18,,2026-03-18,Proofread and format thesis,🔍 Review & Finalization,,,,2026-07-20,,"Complete thorough proofreading for grammar, spelling, and formatting. Ensure compliance with institutional style guide and formatting requirements.",Thesis Project Management,,,,High,Review
"1213727762503037",2026-03-18,,2026-03-18,Organize reference library,📚 Resources & References,,,,,,"Set up reference management system (Zotero, Mendeley, EndNote). Maintain organized library of all sources throughout the project.",Thesis Project Management,,,,Medium,Planning